"scientific_name","taxonomy_id","entry_counts","rank","domain","virus_genome","virus_strand","virus_strand_sense","virus_capsid","virus_capsid_symmetry","pathogen","pathogen_host","volunteer_name","source","reference"
"Polymyxa betae",41456,1,"species","Virus","RNA","Unknown","","Unknown","","Yes","Plant","Edwin Lin","TMD","Taxonomy Browser (Beet Soil-Borne Mosaic Virus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=76343&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 30 June 2020.

Beet Soil-Borne Mosaic Virus. https://www.genome.jp/virushostdb/76343. Accessed 30 June 2020.

Europe PMC. https://europepmc.org/article/agr/ind20627310. Accessed 30 June 2020."
"Small anellovirus KR-HB-0140",415364,2,"no_rank","Virus","DNA","ss","Negative_strand","Enveloped","Icosahedral","Unknown","","Valay Patel Valentina Volpe","TMD","NA Capsid Protein - Small Anellovirus 1. https://www.uniprot.org/uniprot/Q5Q1M4. Accessed 10 Dec. 2020.

Fatholahi, Maryam, and Majid Bouzari. “Torque Teno Midi Virus/Small Anellovirus in Sera of Healthy, HIV/HCV and HIV Infected Individuals in Lorestan Province, Iran.” Jundishapur Journal of Microbiology, vol. 8, no. 11, Nov. 2015. PubMed Central, doi:10.5812/jjm.25368."
"Small anellovirus KR-PN-0002",415374,3,"no_rank","Virus","DNA","ss","Negative_strand","Incongruent","Icosahedral","Incongruent","Human","Kenyer Malcolm Kazi Muztabir Kaylin Cambridge","TMD","Okamoto, H. “History of Discoveries and Pathogenicity of TT Viruses.” Current Topics in Microbiology and Immunology, vol. 331, 2009, pp. 1–20. PubMed, doi:10.1007/978-3-540-70972-5_1.

Taxonomy Browser (Small Anellovirus KR-PN-0002P). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=406886&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 29 Dec. 2020. Taxonomy Browser (Small Anellovirus KR-PN-0002). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=415374&lvl=3&lin=f&keep=1&srchmode=1&unlock. Accessed 2 Jan. 2021. Freer, Giulia, et al. “The Virome and Its Major Component, Anellovirus, a Convoluted System Molding Human Immune Defenses and Possibly Affecting the Development of Asthma and Respiratory Diseases in Childhood.” Frontiers in Microbiology, vol. 9, Apr. 2018. PubMed Central, doi:10.3389/fmicb.2018.00686."
"Small anellovirus KR-PN-0029",415378,1,"no_rank","Virus","DNA","ss","Negative_strand","Naked","Icosahedral","Yes","Human","Oasima Muner","TMD","Anellovirus - Microbewiki. https://microbewiki.kenyon.edu/index.php/Anellovirus. Accessed 26 Oct. 2020.

Chung, Ju-Young, et al. “Small Anellovirus Infections in Korean Children.” Emerging Infectious Diseases, vol. 13, no. 5, May 2007, pp. 791–93. PubMed Central, doi:10.3201/eid1305.061149.

Biagini, P., et al. “Identification of a Third Member of the Anellovirus Genus (‘Small Anellovirus’) in French Blood Donors.” Archives of Virology, vol. 151, no. 2, Feb. 2006, pp. 405–08. Springer Link, doi:10.1007/s00705-005-0660-4.

“Discovery of Novel Anelloviruses in Small Mammals Expands the Host Range and Diversity of the Anelloviridae.” Virology, vol. 514, Jan. 2018, pp. 9–17. www.sciencedirect.com, doi:10.1016/j.virol.2017.11.001."
"Karimabad virus",415382,3,"no_rank","Virus","RNA","ss","Unknown","Enveloped","Incongruent","Yes","Animal Human","Aliza Katz Amina Durakovic Anastassiya Skripchenko","TMD","Robeson, G., et al. “Biochemical Studies on the Phlebotomus Fever Group Viruses (Bunyaviridae Family).” Journal of Virology, vol. 30, no. 1, Apr. 1979, pp. 339–50.

ArboCat Virus: Karimabad (KARV). https://wwwn.cdc.gov/Arbocat/VirusDetails.aspx?ID=227&SID=4. Accessed 4 Aug. 2020. Palacios, Gustavo, et al. “Characterization of the Sandfly Fever Naples Species Complex and Description of a New Karimabad Species Complex (Genus Phlebovirus, Family Bunyaviridae).” The Journal of General Virology, vol. 95, no. Pt 2, Feb. 2014, pp. 292–300. PubMed Central, doi:10.1099/vir.0.056614-0.

Europe PMC. https://europepmc.org/article/med/225523. Accessed 9 Aug. 2020.

Saidi, S., et al. “Studies on the Epidemiology of Sandfly Fever in Iran. II. The Prevalence of Human and Animal Infection with Five Phlebotomus Fever Virus Serotypes in Isfahan Province.” The American Journal of Tropical Medicine and Hygiene, vol. 26, no. 2, Mar. 1977, pp. 288–93. PubMed, doi:10.4269/ajtmh.1977.26.288. Hornak, Katherine E., et al. “RNA Encapsidation and Packaging in the Phleboviruses.” Viruses, vol. 8, no. 7, July 2016, p. 194. www.mdpi.com, doi:10.3390/v8070194.

Palacios, Gustavo, et al. “Characterization of the Sandfly Fever Naples Species Complex and Description of a New Karimabad Species Complex (Genus Phlebovirus, Family Bunyaviridae).” The Journal of General Virology, vol. 95, no. Pt 2, Feb. 2014, pp. 292–300. PubMed Central, doi:10.1099/vir.0.056614-0."
"Myotis capaccinii rhadinovirus",416618,1,"species","Virus","DNA","Unknown","Unknown","Unknown","","Unknown","","Artem Belugin","TMD","Taxonomy Browser (Myotis Capaccinii Rhadinovirus). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=416618&lvl=3&keep=1&srchmode=1&unlock&mod=1&log_op=modifier_toggle#modif. Accessed 9 Aug. 2020.

Myotis Capaccinii Rhadinovirus Terminase Gene, Partial Cds. July 2016. NCBI Nucleotide Database, 119710837, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/EF151200.1.

Terminase, Partial [Myotis Capaccinii Rhadinovirus] - Protein - NCBI. https://www.ncbi.nlm.nih.gov/protein/119710838. Accessed 9 Aug. 2020."
"Phage LM4",41669,4,"species","Virus","Unknown","Unknown","","Unknown","","Unknown","Bacteria","Michelle Chen Michael Leyderman Maria Angelica Meza Maria Angelica Meza","TMD","Bacteriophage Lysins and Their Applications in Destroying and Testing for Bacteria. https://patents.google.com/patent/EP0510907B1/en. Accessed 10 May 2020.

Guenther, Susanne, and Martin J. Loessner. “Bacteriophage Biocontrol of Listeria Monocytogenes on Soft Ripened White Mold and Red-Smear Cheeses.” Bacteriophage, vol. 1, no. 2, 2011, pp. 94–100. PubMed Central, doi:10.4161/bact.1.2.15662. Taxonomy Browser (Phage LM4). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41669. Taxonomy browser (Phage LM4). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41669. Accessed 6 May. 2020. https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=41669. Accessed 19 June 2020."
"H4N7 subtype",418387,2,"serotype","Virus","RNA","ss","Negative_strand","Enveloped","Incongruent","Incongruent","Animal","Kaylin Camidge Kazi Muztabir","TMD","de Souza Petersen, Elisa, et al. “First Detection of Avian Influenza Virus (H4N7) in Giant Petrel Monitored by Geolocators in the Antarctic Region.” Marine Biology, vol. 164, no. 4, Mar. 2017, p. 62. Springer Link, doi:10.1007/s00227-017-3086-0.

Taxonomy Browser (Influenza A Virus (A/Giant Petrel/Antarctica/E96/2011(H4N7))). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=1777013. Accessed 10 Aug. 2020. Petersen, Elisa & Araujo, Jansen & Krüger, Lucas & Seixas, Marina Maria & Ometto, Tatiana & Thomazelli, Luciano & Walker, David & Durigon, Edison & Petry, Maria. (2017). First detection of avian influenza virus (H4N7) in Giant Petrel monitored by geolocators in the Antarctic region. Marine Biology. 164. 10.1007/s00227-017-3086-0. 

Influenza Research Database - A/Duck/Mongolia/583/02 - HA Hemagglutinin - AB289333. https://www.fludb.org/brc/fluSegmentDetails.spg?ncbiGenomicAccession=AB289333&decorator=influenza. Accessed 6 Aug. 2020.

“Influenza A Virus.” Wikipedia, 27 July 2020. Wikipedia, https://en.wikipedia.org/w/index.php?title=Influenza_A_virus&oldid=969735488.

“Influenza Virus.” Transfusion Medicine and Hemotherapy, vol. 36, no. 1, Feb. 2009, pp. 32–39. PubMed Central, doi:10.1159/000197314.

Shriner, Susan A., et al. “Low-Pathogenic Avian Influenza Viruses in Wild House Mice.” PLoS ONE, vol. 7, no. 6, June 2012. PubMed Central, doi:10.1371/journal.pone.0039206."
"Birnavirus sp.",41996,4,"species","Virus","RNA","ds","","Naked","Icosahedral","Yes","Animal","Maria Angelica Meza Michael Leyderman Michelle Chen Maria Angelica Meza","TMD","Delmas, B. «Birnaviruses». Encyclopedia of Virology, Elsevier, 2008, pp. 321-28. DOI.org (Crossref), doi:10.1016/B978-012374410-4.00350-2.

Payne, Susan. «Family Birnaviridae». Viruses, Elsevier, 2017, pp. 227-29. DOI.org (Crossref), doi:10.1016/B978-0-12-803109-4.00027-1. Taxonomy Browser (Birnavirus Sp.). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=41996.

Birnaviridae ~ ViralZone Page. https://viralzone.expasy.org/162?outline=all_by_species.

Birnaviridae - an Overview | ScienceDirect Topics. https://www.sciencedirect.com/topics/medicine-and-dentistry/birnaviridae. King, Andrew M. Q., et al., editors. “Family - Birnaviridae.” Virus Taxonomy, Elsevier, 2012, pp. 499–507. ScienceDirect, doi:10.1016/B978-0-12-384684-6.00045-8.

Lvov, Dimitry Konstantinovich, et al. “Chapter 7 - Double-Stranded RNA Viruses.” Zoonotic Viruses in Northern Eurasia, edited by Dimitry Konstantinovich Lvov et al., Academic Press, 2015, pp. 113–33. ScienceDirect, doi:10.1016/B978-0-12-801742-5.00007-6.

Payne, Susan. “Chapter 27 - Family Birnaviridae.” Viruses, edited by Susan Payne, Academic Press, 2017, pp. 227–29. ScienceDirect, doi:10.1016/B978-0-12-803109-4.00027-1. «Birnaviridae». Virus Taxonomy, Elsevier, 2012, pp. 499-507. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00045-8.

«Birnaviridae». Fenner’s Veterinary Virology, Elsevier, 2011, pp. 293-98. DOI.org (Crossref), doi:10.1016/B978-0-12-375158-4.00016-X."
"Isla Vista hantavirus",42097,4,"species","Virus","RNA","ss","","Enveloped","Icosahedral","Yes","Animal Human","Michael Leyderman Maria Angelica Meza Maria Angelica Meza Michelle Chen","TMD","Song, W & Torrez Martinez, Norah & Irwin, W & Harrison, F & Davis, R & Ascher, Michael & Jay-Russell, Michele & Hjelle, Brian. (1996). Isla Vista virus: A genetically novel hantavirus of the California vole Microtus californicus. The Journal of general virology. 76 ( Pt 12). 3195-9. 10.1099/0022-1317-76-12-3195. 

Transmission | Hantavirus | DHCPP | CDC. 22 Feb. 2019, https://www.cdc.gov/hantavirus/hps/transmission.html. Song, W., et al. «Isla Vista Virus: A Genetically Novel Hantavirus of the California Vole Microtus Californicus». Journal of General Virology, vol. 76, n.o 12, Dec 1995, pp. 3195-99. DOI.org (Crossref), doi:10.1099/0022-1317-76-12-3195.

«Bunyaviridae». Fenner’s Veterinary Virology, Elsevier, 2017, pp. 411-24. DOI.org (Crossref), doi:10.1016/B978-0-12-800946-8.00022-2. «Bunyaviridae». Fenner’s Veterinary Virology, Elsevier, 2017, pp. 411-24. DOI.org (Crossref), doi:10.1016/B978-0-12-800946-8.00022-2.

Song, W., et al. «Isla Vista Virus: A Genetically Novel Hantavirus of the California Vole Microtus Californicus». The Journal of General Virology, vol. 76 ( Pt 12), December 1995, pp. 3195-99. PubMed, doi:10.1099/0022-1317-76-12-3195. Avšič-Županc, T., et al. “Hantavirus Infections.” Clinical Microbiology and Infection, vol. 21, Apr. 2019, pp. e6–16. ScienceDirect, doi:10.1111/1469-0691.12291.

Hart, C. A., and M. Bennett. “Hantavirus Infections: Epidemiology and Pathogenesis.” Microbes and Infection, vol. 1, no. 14, Dec. 1999, pp. 1229–37. ScienceDirect, doi:10.1016/S1286-4579(99)00238-5.

Jay, Michele, et al. Seroepidemiologic Studies of Hantavirus Infection Among Wild Rodents in California - Volume 3, Number 2—June 1997 - Emerging Infectious Diseases Journal - CDC. wwwnc.cdc.gov, doi:10.3201/eid0302.970213. Accessed 10 May 2020.

Song, W., et al. “Isla Vista Virus: A Genetically Novel Hantavirus of the California Vole Microtus Californicus.” The Journal of General Virology, vol. 76 ( Pt 12), Dec. 1995, pp. 3195–99. PubMed, doi:10.1099/0022-1317-76-12-3195."
"Hippeastrum mosaic virus",421010,3,"no_rank","Virus","RNA","ss","Positive_strand","Unknown","Helical","Yes","Plant","Sylricka Ruwadi Syed Ahsan Syeda Jannath","TMD","1. JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0081842. Accessed 9 Dec. 2020.

2. Potyviridae ~ ViralZone Page. https://viralzone.expasy.org/48. Accessed 9 Dec. 2020.

3. “Hippeastrum Mosaic Virus.” IMG, https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2595698570. Potyvirus ~ ViralZone Page. https://viralzone.expasy.org/50. Accessed 13 Dec. 2020. Malandraki, I., et al. “First Report of Hippeastrum Mosaic Virus in Hippeastrum Sp. in Greece.” Plant Disease, vol. 100, no. 4, Oct. 2015, p. 869. apsjournals.apsnet.org (Atypon), doi:10.1094/PDIS-09-15-0957-PDN."
"Phage N 209",42171,3,"species","Virus","Unknown","Unknown","","Unknown","","Yes","Bacteria","Michelle Chen Michael Leyderman Maria Angelica Meza","TMD","BEI Reagent Search. https://www.beiresources.org/Catalog/BEIBacteriophages/HM-607.aspx. Accessed 10 May 2020.

Europe PMC. https://europepmc.org/article/PMC/1868451. Accessed 10 May 2020. Taxonomy Browser (Phage N 209). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42171 Taxonomy browser (Phage N 209). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42171. Accessed 6 May. 2020."
"Phage 3/14",42172,3,"species","Virus","DNA","Unknown","","Unknown","Complex","Unknown","Bacteria","Maria Angelica Meza Michael Leyderman Michelle Chen","TMD","«Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

Kutter, Elizabeth, et al. «Evolution of T4-Related Phages». Virus Genes, vol. 11, n.o 2, junio de 1995, pp. 285-97. Springer Link, doi:10.1007/BF01728666. Taxonomy Browser (Phage 3/14). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42172. Bacteriophage 3/14 Frd3, Frd2 Genes, Complete Cds. Aug. 1995. NCBI Nucleotide Database, 951362, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/L46841.1."
"Phage Cz",42173,3,"species","Virus","DNA","ds","","Unknown","Complex","Yes","Bacteria","Michelle Chen Michael Leyderman Maria Angelica Meza","TMD","Frd2 - Frd2 Protein - Phage Cz - Frd2 Gene & Protein. https://www.uniprot.org/uniprot/Q76VH5. Accessed 10 May 2020.

Pope, Welkin H., et al. “Bacteriophages of Gordonia Spp. Display a Spectrum of Diversity and Genetic Relationships.” MBio, vol. 8, no. 4, Sept. 2017. mbio.asm.org, doi:10.1128/mBio.01069-17. The Actinobacteriophage Database| Gordonia. https://phagesdb.org/hosts/genera/6/. 

Montgomery, Matthew T et al. “Yet More Evidence of Collusion: a New Viral Defense System Encoded by Gordonia Phage CarolAnn.” mBio vol. 10,2 e02417-18. 19 Mar. 2019, doi:10.1128/mBio.02417-18 Kutter, Elizabeth, et al. «Evolution of T4-Related Phages». Virus Genes, vol. 11, n.o 2, junio de 1995, pp. 285-97. Springer Link, doi:10.1007/BF01728666

«Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1."
"Enterobacteria phage DD VI",42174,4,"species","Virus","DNA","ds","","Naked","Complex","Unknown","Bacteria","Michael Leyderman Maria Angelica Meza Michelle Chen Maria Angelica Meza","TMD","Frd3 - Frd3 Protein - Enterobacteria Phage DD VI - Frd3 Gene & Protein. https://www.uniprot.org/uniprot/Q76VH3. 

Tequatrovirus ~ ViralZone Page. https://viralzone.expasy.org/504?outline=all_by_species. «Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

«Caudovirales». Virus Taxonomy, Elsevier, 2012, pp. 39-45. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00001-X. King, Andrew M. Q., et al., editors. “Family - Myoviridae.” Virus Taxonomy, Elsevier, 2012, pp. 46–62. ScienceDirect, doi:10.1016/B978-0-12-384684-6.00002-1.

Murphy, Frederik A., et al. Virus Taxonomy: Classification and Nomenclature of Viruses. Springer Science & Business Media, 2012.

Taxonomy Summary. https://www.genome.jp/tools-bin/taxsummary?id=10663&col=species. Accessed 10 May 2020.

Taxonomy Browser (Enterobacteria Phage LZ1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=42175. Accessed 10 May 2020.

Wexler, Philip, et al. Encyclopedia of Toxicology. Academic Press, 2005. «Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

Taxonomy browser (Enterobacteria phage DD VI). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42174. Accessed 5 May. 2020."
"Enterobacteria phage LZ1",42175,4,"species","Virus","DNA","ds","","Naked","Complex","Unknown","Bacteria","Maria Angelica Meza Maria Angelica Meza Michelle Chen Michael Leyderman","TMD","«Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

Taxonomy browser (Enterobacteria phage LZ1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=42175. Accessed 5 May. 2020. «Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

«Caudovirales». Virus Taxonomy, Elsevier, 2012, pp. 39-45. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00001-X. Becker, Yechiel, editor. Molecular Evolution of Viruses — Past and Present. Springer US, 1996. www.springer.com, doi:10.1007/978-1-4613-1407-3.

Taxonomy Summary. https://www.genome.jp/tools-bin/taxsummary?id=10663&col=species. Accessed 10 May 2020. Tequatrovirus ~ ViralZone Page. https://viralzone.expasy.org/504?outline=all_by_species.

Taxonomy Browser (Enterobacteria Phage LZ1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=42175."
"Enterobacteria phage LZ4",42176,3,"species","Virus","DNA","ds","","Naked","Icosahedral","Yes","Bacteria","Maria Angelica Meza Michelle Chen Michael Leyderman","TMD","Taxonomy browser (Enterobacteria phage LZ4). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42176. Accessed 6 May. 2020.

«Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

«Caudovirales». Virus Taxonomy, Elsevier, 2012, pp. 39-45. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00001-X. Becker, Yechiel, editor. Molecular Evolution of Viruses — Past and Present. Springer US, 1996. www.springer.com, doi:10.1007/978-1-4613-1407-3.
Short, Cindy M., and Curtis A. Suttle. “Nearly Identical 

Bacteriophage Structural Gene Sequences Are Widely Distributed in Both Marine and Freshwater Environments.” Applied and Environmental Microbiology, vol. 71, no. 1, Jan. 2005, pp. 480–86. aem.asm.org, doi:10.1128/AEM.71.1.480-486.2005.

Taxonomy Summary. https://www.genome.jp/tools-bin/taxsummary?id=10663&col=species. Accessed 10 May 2020.

Taxonomy Browser (Enterobacteria Phage LZ4). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42176. Accessed 10 May 2020. Taxonomy Browser (Enterobacteria Phage LZ4). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42176."
"Enterobacteria phage LZ6",42177,3,"species","Virus","DNA","ds","","Naked","Icosahedral","Unknown","Bacteria","Michael Leyderman Maria Angelica Meza Michelle Chen","TMD","Enterobacteria Phage LZ6. https://www.uniprot.org/taxonomy/42177.

Tequatrovirus ~ ViralZone Page. https://viralzone.expasy.org/504?outline=all_by_species. Taxonomy browser (Enterobacteria phage LZ6). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42177. Accessed 6 May. 2020.

Kutter, Elizabeth, et al. «Evolution of T4-Related Phages». Virus Genes, vol. 11, n.o 2, June 1995, pp. 285-97. Springer Link, doi:10.1007/BF01728666

«Myoviridae». Virus Taxonomy, Elsevier, 2012, pp. 46-62. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00002-1.

«Caudovirales». Virus Taxonomy, Elsevier, 2012, pp. 39-45. DOI.org (Crossref), doi:10.1016/B978-0-12-384684-6.00001-X. Becker, Yechiel, editor. Molecular Evolution of Viruses — Past and Present. Springer US, 1996. www.springer.com, doi:10.1007/978-1-4613-1407-3.

Taxonomy Browser (Enterobacteria Phage LZ6). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42177. Accessed 10 May 2020.

Taxonomy Summary. https://www.genome.jp/tools-bin/taxsummary?id=10663&col=species. Accessed 10 May 2020."
"Enterobacteria phage LZ7",42178,2,"species","Virus","DNA","ds","","Naked","Icosahedral","Yes","Bacteria","Odinakhon Shamieva Mikaila Corriders","TMD","Taxonomy Browser (Enterobacteria Phage LZ7). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42178. Accessed 12 May 2020.

Tequatrovirus ~ ViralZone Page. https://viralzone.expasy.org/504?outline=all_by_species. Accessed 12 May 2020. Taxonomy Browser (Enterobacteria Phage LZ7). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42178. Accessed 9 May 2020.

“Enterobacteria Phage T2.” Wikipedia, 11 Mar. 2020. Wikipedia, https://en.wikipedia.org/w/index.php?title=Enterobacteria_phage_T2&oldid=945044187."
"Enterobacteria phage LZ8",42179,2,"species","Virus","DNA","ds","","Naked","Icosahedral","Yes","Bacteria","Mikaila Corriders Odinakhon Shamieva","TMD","Taxonomy Browser (Enterobacteria Phage LZ8). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42179. Accessed 9 May 2020.

Enterobacteria Phage LZ8. https://www.uniprot.org/taxonomy/42179. Accessed 9 May 2020.

Frd3 - Frd3 Protein - Enterobacteria Phage LZ8 - Frd3 Gene & Protein. https://www.uniprot.org/uniprot/Q38628. Accessed 9 May 2020. Tequatrovirus ~ ViralZone Page. https://viralzone.expasy.org/504?outline=all_by_species. Accessed 12 May 2020.

Taxonomy Browser (Enterobacteria Phage LZ8). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42179. Accessed 12 May 2020."
"Enterobacteria phage SC1",42180,2,"species","Virus","Incongruent","Incongruent","","Naked","Icosahedral","Yes","Bacteria","Odinakhon Shamieva Mikaila Corriders","TMD","Taxonomy Browser (Enterobacteria Phage SC1). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=42180. Accessed 12 May 2020.

Krishnamurthy, Siddharth R., et al. “Hyperexpansion of RNA Bacteriophage Diversity.” PLoS Biology, vol. 14, no. 3, Mar. 2016. PubMed Central, doi:10.1371/journal.pbio.1002409. Taxonomy Browser (Tevenvirinae). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=1198136. Accessed 9 May 2020.

Genomes Pages - Phage. https://www.ebi.ac.uk/genomes/phage.html. Accessed 9 May 2020."
"Bovine coronavirus E-DB2-TC",422216,3,"no_rank","Virus","RNA","ss","Positive_strand","Enveloped","Unknown","Yes","Animal Human","Monique Marie Vilme Moitrayee Dasgupta Momotaj Jahan","TMD","taxonomy. “Taxonomy Browser (Bovine Coronavirus E-DB2-TC).” Nih.Gov, 2020, www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=0&id=422216. Accessed 2 Nov. 2020.

Fulton, Robert W, et al. “Bovine Coronavirus (BCV) Infections in Transported Commingled Beef Cattle and Sole-Source Ranch Calves.” Canadian Journal of Veterinary Research = Revue Canadienne de Recherche Veterinaire, vol. 75, no. 3, 2011, pp. 191–9, www.ncbi.nlm.nih.gov/pmc/articles/PMC3122965/. Accessed 2 Nov. 2020.

‌ Saif LJ. Bovine respiratory coronavirus. Vet Clin North Am Food Anim Pract. 2010;26(2):349-364. doi:10.1016/j.cvfa.2010.04.005 Betacoronavirus ~ ViralZone Page. https://viralzone.expasy.org/764. Accessed 1 Nov. 2020."
"Bovine coronavirus E-AH65",422217,1,"no_rank","Virus","RNA","ss","Positive_strand","Enveloped","Helical","Yes","Animal","Sobia Shahabuddin","TMD","JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0081505. Accessed 23 Aug. 2020.

“Quasispecies of Bovine Enteric and Respiratory Coronaviruses Based on Complete Genome Sequences and Genetic Changes after Tissue Culture Adaptation.” Virology, vol. 363, no. 1, June 2007, pp. 1–10. www.sciencedirect.com, doi:10.1016/j.virol.2007.03.018.

Li, Fang. “Structure, Function, and Evolution of Coronavirus Spike Proteins.” Annual Review of Virology, vol. 3, no. 1, Sept. 2016, pp. 237–61. PubMed Central, doi:10.1146/annurev-virology-110615-042301."
"Bovine coronavirus R-AH187",422219,3,"no_rank","Virus","RNA","ss","Positive_strand","Enveloped","Unknown","Yes","Animal","Ashalee Hinds Sanjana Prasad Salma Elhassa","TMD","Zhang, X., Hasoksuz, M., Spiro, D., Halpin, R., Wang, S., Vlasova, A., Janies, D., Jones, L. R., Ghedin, E., & Saif, L. J. (2007). Quasispecies of bovine enteric and respiratory coronaviruses based on complete genome sequences and genetic changes after tissue culture adaptation. Virology, 363(1), 1–10. https://doi.org/10.1016/j.virol.2007.03.018 Bovine Coronavirus R-AH187, Complete Genome. July 2016. NCBI Nucleotide Database, 145208944, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/EF424620.1.
IMG. https://img.jgi.doe.gov/cgi-bin/m/main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2588253597. Accessed 9 Aug. 2020.
JGI GOLD | Organism. https://gold.jgi.doe.gov/organism?id=Go0081507. Accessed 9 Aug. 2020.
Search. https://www.globalbioticinteractions.org/?interactionType=interactsWith&sourceTaxon=NCBI%3A422219. Accessed 9 Aug. 2020.
Taxonomy Browser (Bovine Coronavirus R-AH187). https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?mode=Info&id=422219&lvl=3&p=has_linkout&p=blast_url&p=genome_blast&lin=f&keep=1&srchmode=1&unlock. Accessed 9 Aug. 2020. Bovine Coronavirus R-AH187, Complete Genome. July 2016. NCBI Nucleotide Database, 145208944, NCBI Nucleotide, http://www.ncbi.nlm.nih.gov/nuccore/EF424620.1.

Decaro, Nicola, et al. “Biological and Genetic Analysis of a Bovine-like Coronavirus Isolated from Water Buffalo (Bubalus Bubalis) Calves.” Virology, vol. 370, no. 1, Jan. 2008, pp. 213–22. PubMed Central, doi:10.1016/j.virol.2007.08.031."
